seed,fold,model,n,positive,negative,AUC,AUPRC,ACC,Balanced_ACC,F1,Precision,Recall,Sensitivity,Specificity,MCC,Brier,LogLoss,TN,FP,FN,TP
43,4,Nested logistic fusion,533,266,267,0.9815198107628622,0.9825073769121055,0.9305816135084428,0.9305637689729942,0.9297912713472486,0.9386973180076629,0.9210526315789473,0.9210526315789473,0.9400749063670412,0.8613094675823003,0.0508051921279663,0.17131870025497373,251,16,21,245
43,4,Feature concatenation LR,533,266,267,0.985075047168483,0.9850534422066194,0.9362101313320825,0.9362099067894455,0.9360902255639098,0.9360902255639098,0.9360902255639098,0.9360902255639098,0.9363295880149812,0.8724198135788911,0.04445592832109413,0.17938088736232635,250,17,17,249
43,5,Molecular branch,595,285,310,0.9798415393322014,0.97923848052852,0.9310924369747899,0.9303338992642898,0.9269162210338681,0.9420289855072463,0.9122807017543859,0.9122807017543859,0.9483870967741935,0.8621621417555362,0.05975417719301525,0.36782129708218714,294,16,25,260
43,5,Contextual branch,595,285,310,0.9875155631013015,0.9862708185905812,0.9394957983193277,0.938398415393322,0.935251798561151,0.959409594095941,0.9122807017543859,0.9122807017543859,0.964516129032258,0.8795187406076318,0.05317467583460607,0.2428733135643298,299,11,25,260
43,5,Equal probability mean,595,285,310,0.9906395019807583,0.9894924311693568,0.9411764705882353,0.9398698358800226,0.9367088607594937,0.9664179104477612,0.9087719298245615,0.9087719298245615,0.9709677419354839,0.8833161694668348,0.04018762357146769,0.1433910809324662,301,9,26,259
43,5,Equal logit mean,595,285,310,0.9923599320882852,0.99140007521683,0.9411764705882353,0.9398698358800226,0.9367088607594937,0.9664179104477612,0.9087719298245615,0.9087719298245615,0.9709677419354839,0.8833161694668348,0.04339578159901468,0.1771473824677979,301,9,26,259
43,5,Learned convex probability mean,595,285,310,0.9904470854555744,0.9892924370829904,0.9411764705882353,0.9401528013582343,0.9371633752244165,0.9595588235294118,0.9157894736842105,0.9157894736842105,0.964516129032258,0.8827770410824886,0.04337638671257883,0.14819356353557686,299,11,24,261
43,5,Nested logistic fusion,595,285,310,0.991409168081494,0.9904062182582819,0.9394957983193277,0.9388228636106395,0.9359430604982206,0.9494584837545126,0.9228070175438596,0.9228070175438596,0.9548387096774194,0.8789599265688305,0.03756924155535852,0.12344571000685095,296,14,22,263
43,5,Feature concatenation LR,595,285,310,0.9914204867006225,0.9903956895773427,0.946218487394958,0.9458404074702886,0.9434628975265018,0.9501779359430605,0.9368421052631579,0.9368421052631579,0.9548387096774194,0.8922667625386401,0.0401419192840793,0.13633366241350975,296,14,18,267
44,1,Molecular branch,588,315,273,0.9683935112506541,0.9764584667981236,0.9064625850340136,0.9058608058608059,0.9128367670364501,0.9113924050632911,0.9142857142857143,0.9142857142857143,0.8974358974358975,0.8119246300629852,0.08019180356395038,0.49550762484978067,245,28,27,288
44,1,Contextual branch,588,315,273,0.9794639223210652,0.9838637032680065,0.9251700680272109,0.9245421245421246,0.930379746835443,0.9274447949526814,0.9333333333333333,0.9333333333333333,0.9157509157509157,0.8495190232513868,0.06270374956797742,0.30978639103520894,250,23,21,294
44,1,Equal probability mean,588,315,273,0.9797778940636084,0.9842724925646263,0.9217687074829932,0.9228327228327229,0.9255663430420712,0.9438943894389439,0.9079365079365079,0.9079365079365079,0.9377289377289377,0.8439008836057508,0.05547526060854325,0.2316624992419212,256,17,29,286
44,1,Equal logit mean,588,315,273,0.9821268678411536,0.9860034907363566,0.9217687074829932,0.9228327228327229,0.9255663430420712,0.9438943894389439,0.9079365079365079,0.9079365079365079,0.9377289377289377,0.8439008836057508,0.06047476843015301,0.29931800452975565,256,17,29,286
44,1,Learned convex probability mean,588,315,273,0.9807314378742951,0.9849585626739928,0.9251700680272109,0.9247863247863248,0.9301587301587302,0.9301587301587302,0.9301587301587302,0.9301587301587302,0.9194139194139194,0.8495726495726496,0.05477742715093656,0.22759221906587046,251,22,22,293
