evaluation,replicate,metric,value
Similarity-grouped development OOF,52,Brier,0.04667687017859361
Similarity-grouped development OOF,52,LogLoss,0.15582075899838305
Similarity-grouped development OOF,52,ECE_equal_width_10,0.012776432521497481
Similarity-grouped development OOF,52,ECE_equal_frequency_10,0.00550083834699463
Similarity-grouped development OOF,52,Calibration_intercept,0.042426460984949455
Similarity-grouped development OOF,52,Calibration_slope,1.023662764163469
Similarity-grouped development OOF,53,Brier,0.05176007023897121
Similarity-grouped development OOF,53,LogLoss,0.17402502288636953
Similarity-grouped development OOF,53,ECE_equal_width_10,0.014533789287850147
Similarity-grouped development OOF,53,ECE_equal_frequency_10,0.01026928885997034
Similarity-grouped development OOF,53,Calibration_intercept,-0.00626551701961097
Similarity-grouped development OOF,53,Calibration_slope,0.9734633203216524
Similarity-grouped development OOF,54,Brier,0.04757773616648307
Similarity-grouped development OOF,54,LogLoss,0.15983752259183512
Similarity-grouped development OOF,54,ECE_equal_width_10,0.013845557522350036
Similarity-grouped development OOF,54,ECE_equal_frequency_10,0.010080392769089222
Similarity-grouped development OOF,54,Calibration_intercept,0.055318663757202326
Similarity-grouped development OOF,54,Calibration_slope,1.0238767966156899
Similarity-grouped development OOF,55,Brier,0.04911104317069999
Similarity-grouped development OOF,55,LogLoss,0.16472844720317478
Similarity-grouped development OOF,55,ECE_equal_width_10,0.01737731341927946
Similarity-grouped development OOF,55,ECE_equal_frequency_10,0.012212237971447337
Similarity-grouped development OOF,55,Calibration_intercept,-0.022050798391916822
Similarity-grouped development OOF,55,Calibration_slope,0.9792970161325775
Similarity-grouped development OOF,56,Brier,0.04571953623293694
Similarity-grouped development OOF,56,LogLoss,0.1547349579729926
Similarity-grouped development OOF,56,ECE_equal_width_10,0.013851391548382679
Similarity-grouped development OOF,56,ECE_equal_frequency_10,0.007827259183136925
Similarity-grouped development OOF,56,Calibration_intercept,-0.027281243002280645
Similarity-grouped development OOF,56,Calibration_slope,1.0246238987610348
Similarity-grouped development OOF,57,Brier,0.04497833010000392
Similarity-grouped development OOF,57,LogLoss,0.15409190612799903
Similarity-grouped development OOF,57,ECE_equal_width_10,0.010829641548381898
Similarity-grouped development OOF,57,ECE_equal_frequency_10,0.011437926832965448
Similarity-grouped development OOF,57,Calibration_intercept,-0.023253839903451236
Similarity-grouped development OOF,57,Calibration_slope,1.020691956162608
Similarity-grouped development OOF,58,Brier,0.053899072303353425
Similarity-grouped development OOF,58,LogLoss,0.17712549516987097
Similarity-grouped development OOF,58,ECE_equal_width_10,0.021103127424442356
Similarity-grouped development OOF,58,ECE_equal_frequency_10,0.015055508143040724
Similarity-grouped development OOF,58,Calibration_intercept,0.17216934196857106
Similarity-grouped development OOF,58,Calibration_slope,0.9642492024251849
Similarity-grouped development OOF,59,Brier,0.04835938391536556
Similarity-grouped development OOF,59,LogLoss,0.1608350279081324
