model,replicate,metric,value
AnOxFuse,57,LogLoss,0.39724128463329156
AnOxFuse,58,AUC,0.895277001565611
AnOxFuse,58,AUPRC,0.8619025330669656
AnOxFuse,58,ACC,0.8429935557131942
AnOxFuse,58,F1,0.8342688188156038
AnOxFuse,58,Precision,0.8143364252824274
AnOxFuse,58,Recall,0.8552014598200488
AnOxFuse,58,MCC,0.6860255911627587
AnOxFuse,58,Brier,0.12425689835109004
AnOxFuse,58,LogLoss,0.4399534644418447
AnOxFuse,59,AUC,0.9190261559509503
AnOxFuse,59,AUPRC,0.9172170383164853
AnOxFuse,59,ACC,0.8526182314426627
AnOxFuse,59,F1,0.8521820370322005
AnOxFuse,59,Precision,0.8967091239155054
AnOxFuse,59,Recall,0.8118678383560564
AnOxFuse,59,MCC,0.709424100848576
AnOxFuse,59,Brier,0.1160178244407206
AnOxFuse,59,LogLoss,0.38486063430230844
AnOxFuse,60,AUC,0.8933367279085472
AnOxFuse,60,AUPRC,0.8567987781788687
AnOxFuse,60,ACC,0.8343874042148594
AnOxFuse,60,F1,0.8326915214830554
AnOxFuse,60,Precision,0.7812434892444755
AnOxFuse,60,Recall,0.8913933670903326
AnOxFuse,60,MCC,0.6758633137740883
AnOxFuse,60,Brier,0.12696418059211254
AnOxFuse,60,LogLoss,0.424122645726542
AnOxFuse,61,AUC,0.8786954821765733
AnOxFuse,61,AUPRC,0.8886723102071329
AnOxFuse,61,ACC,0.8521905849110339
AnOxFuse,61,F1,0.853926736612187
AnOxFuse,61,Precision,0.8915216230605881
AnOxFuse,61,Recall,0.8193742575962297
AnOxFuse,61,MCC,0.7074490896916038
AnOxFuse,61,Brier,0.13245159835123363
AnOxFuse,61,LogLoss,0.4919845484084081
AnOxFuse,62,AUC,0.8203982847159781
AnOxFuse,62,AUPRC,0.7795718374348927
AnOxFuse,62,ACC,0.7815151590588413
AnOxFuse,62,F1,0.7632407750936865
AnOxFuse,62,Precision,0.7211440256016388
AnOxFuse,62,Recall,0.810557003052533
AnOxFuse,62,MCC,0.5649999382982707
AnOxFuse,62,Brier,0.19236007876590286
AnOxFuse,62,LogLoss,0.7125081585674913
AnOxFuse,63,AUC,0.8627469993319677
AnOxFuse,63,AUPRC,0.8417593591148627
AnOxFuse,63,ACC,0.8367072418999985
AnOxFuse,63,F1,0.852141461164271
AnOxFuse,63,Precision,0.8507943631307546
AnOxFuse,63,Recall,0.8534928317952434
AnOxFuse,63,MCC,0.669821936498232
AnOxFuse,63,Brier,0.1251177687762252
AnOxFuse,63,LogLoss,0.4822888564597017
AnOxFuse,64,AUC,0.9120425433157481
AnOxFuse,64,AUPRC,0.901403810581567
AnOxFuse,64,ACC,0.8520346275094303
AnOxFuse,64,F1,0.8342034750818467
AnOxFuse,64,Precision,0.9016447069396277
AnOxFuse,64,Recall,0.7761490675961936
AnOxFuse,64,MCC,0.7083830661173718
AnOxFuse,64,Brier,0.12109902059578712
AnOxFuse,64,LogLoss,0.41914558336033153
AnOxFuse,65,AUC,0.8986581648450779
AnOxFuse,65,AUPRC,0.9108367132648643
AnOxFuse,65,ACC,0.854695759189291
AnOxFuse,65,F1,0.8673599900055886
AnOxFuse,65,Precision,0.8646258015268499
AnOxFuse,65,Recall,0.8701115258781854
AnOxFuse,65,MCC,0.7067387610949218
AnOxFuse,65,Brier,0.12340631000539097
AnOxFuse,65,LogLoss,0.4705816472956432
AnOxFuse,66,AUC,0.9204453953291851
AnOxFuse,66,AUPRC,0.9296906950029482
AnOxFuse,66,ACC,0.8310831138555288
AnOxFuse,66,F1,0.8319065141117438
AnOxFuse,66,Precision,0.8655522922070957
AnOxFuse,66,Recall,0.8007786203869866
